id,Date,APPLICATION,OFFERED,ANSWERED,AVG ANS DELAY,AVG ANS DELAY SECONDS,MAX ANS DELAY,ABANDONED,DelayCallsProduct
2017-08-27-ccc_311_calgary_script,2017/08/27,ccc_311_calgary_script,1080,1023,00:00:39,39,00:17:53,59,39897
2017-08-27-ccc_311_lobby_ph_script,2017/08/27,ccc_311_lobby_ph_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-27-ccc_aserv_info_script,2017/08/27,ccc_aserv_info_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-27-ccc_bylaw_script,2017/08/27,ccc_bylaw_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-27-ccc_city_script,2017/08/27,ccc_city_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-27-ccc_cty_online_script,2017/08/27,ccc_cty_online_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-27-ccc_feedback_script,2017/08/27,ccc_feedback_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-27-ccc_fpb_script,2017/08/27,ccc_fpb_script,3,3,00:04:00,240,00:09:52,0,720
2017-08-27-ccc_help_script,2017/08/27,ccc_help_script,11,7,00:00:39,39,00:02:33,4,273
2017-08-27-ccc_link_script,2017/08/27,ccc_link_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-27-ccc_media_line_script,2017/08/27,ccc_media_line_script,3,3,00:00:09,9,00:00:18,0,27
2017-08-27-ccc_priority_script,2017/08/27,ccc_priority_script,20,19,00:00:10,10,00:01:19,1,190
2017-08-27-ccc_tax_script,2017/08/27,ccc_tax_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-27-ccc_waste_recycling_script,2017/08/27,ccc_waste_recycling_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-28-ccc_311_calgary_script,2017/08/28,ccc_311_calgary_script,3783,3517,00:01:17,77,00:08:32,266,270809
2017-08-28-ccc_311_lobby_ph_script,2017/08/28,ccc_311_lobby_ph_script,5,4,00:00:09,9,00:00:16,1,36
2017-08-28-ccc_aserv_info_script,2017/08/28,ccc_aserv_info_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-28-ccc_bylaw_script,2017/08/28,ccc_bylaw_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-28-ccc_city_script,2017/08/28,ccc_city_script,23,23,00:00:12,12,00:00:26,0,276
2017-08-28-ccc_cty_online_script,2017/08/28,ccc_cty_online_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-28-ccc_feedback_script,2017/08/28,ccc_feedback_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-28-ccc_fpb_script,2017/08/28,ccc_fpb_script,2,2,00:00:03,3,00:00:04,0,6
2017-08-28-ccc_help_script,2017/08/28,ccc_help_script,12,12,00:00:08,8,00:00:24,0,96
2017-08-28-ccc_link_script,2017/08/28,ccc_link_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-28-ccc_media_line_script,2017/08/28,ccc_media_line_script,2,2,00:00:18,18,00:00:31,0,36
2017-08-28-ccc_priority_script,2017/08/28,ccc_priority_script,41,41,00:00:15,15,00:02:34,0,615
2017-08-28-ccc_tax_script,2017/08/28,ccc_tax_script,17,15,00:01:37,97,00:07:04,2,1455
2017-08-28-ccc_waste_recycling_script,2017/08/28,ccc_waste_recycling_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-29-ccc_311_calgary_script,2017/08/29,ccc_311_calgary_script,3959,3271,00:02:54,174,00:14:12,688,569154
2017-08-29-ccc_311_lobby_ph_script,2017/08/29,ccc_311_lobby_ph_script,1,1,00:00:04,4,00:00:04,0,4
2017-08-29-ccc_aserv_info_script,2017/08/29,ccc_aserv_info_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-29-ccc_bylaw_script,2017/08/29,ccc_bylaw_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-29-ccc_city_script,2017/08/29,ccc_city_script,17,14,00:00:29,29,00:01:45,3,406
2017-08-29-ccc_cty_online_script,2017/08/29,ccc_cty_online_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-29-ccc_feedback_script,2017/08/29,ccc_feedback_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-29-ccc_fpb_script,2017/08/29,ccc_fpb_script,2,1,00:00:58,58,00:00:58,1,58
2017-08-29-ccc_help_script,2017/08/29,ccc_help_script,14,12,00:00:18,18,00:00:51,2,216
2017-08-29-ccc_link_script,2017/08/29,ccc_link_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-29-ccc_media_line_script,2017/08/29,ccc_media_line_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-29-ccc_priority_script,2017/08/29,ccc_priority_script,23,23,00:00:07,7,00:00:25,0,161
2017-08-29-ccc_tax_script,2017/08/29,ccc_tax_script,30,26,00:02:59,179,00:06:06,4,4654
2017-08-29-ccc_waste_recycling_script,2017/08/29,ccc_waste_recycling_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-30-ccc_311_calgary_script,2017/08/30,ccc_311_calgary_script,3969,3375,00:02:29,149,00:10:57,594,502875
2017-08-30-ccc_311_lobby_ph_script,2017/08/30,ccc_311_lobby_ph_script,1,0,00:00:00,0,00:00:00,1,0
2017-08-30-ccc_aserv_info_script,2017/08/30,ccc_aserv_info_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-30-ccc_bylaw_script,2017/08/30,ccc_bylaw_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-30-ccc_city_script,2017/08/30,ccc_city_script,8,8,00:01:20,80,00:04:06,0,640
2017-08-30-ccc_cty_online_script,2017/08/30,ccc_cty_online_script,0,0,00:00:00,0,00:00:00,0,0
2017-08-30-ccc_feedback_script,2017/08/30,ccc_feedback_script,0,0,00:00:00,0,00:00:00,0,0
